Symbol,Five_Minute_Change,Average_Volume,Total_Volume,Days_Open,Days_Change,20MA_Open,50MA_Open,200MA_Open,20MA_Change,50MA_Change,200MA_Change,Next_Days_Change
FB,-0.000204913,8333.985075,558377,264.14,-0.021995911,263.5106,263.29562,262.88845,-0.009431689,-0.004308161,-0.001081181,0.008247664
FB,7.57E-06,13401.93939,884528,255.83,0.008247664,258.13835,260.27564,262.27008,0.001923,-0.008848465,-0.006348608,0.00667735
FB,8.69E-05,12856.54545,848532,262.08,0.00667735,261.19025,259.5604,260.513035,0.008752241,0.015130968,0.000146423,0.003757686
FB,5.27E-08,6141.514706,417623,263.46,0.003757686,263.4047,263.27038,260.53635,0.001197966,0.001550953,0.007112136,0.02104737
FB,0.000250727,27678.4697,1826779,270.105,0.02104737,269.20405,265.93512,263.458425,0.032480752,0.044017052,0.018242252,0.001632742
FB,-3.47E-05,9940.878788,656098,275.61,0.001632742,275.5867,277.41198,269.396395,0.002862257,-0.004289216,0.015661234,-0.012511366
FB,-0.000220944,15207.51515,1003696,274.95,-0.012511366,276.79825,276.2499,274.516925,-0.014961258,-0.012865525,0.004486499,0.006095267
FB,3.40E-05,9812.985075,657470,265.78,0.006095267,268.2528,270.86462,274.863075,-0.007727972,-0.020154792,-0.013820954,-0.01598579
FB,-0.000132918,15111.4697,997357,270.24,-0.01598579,268.82225,266.6737,270.602505,-0.006064416,0.002030196,-0.010070768,-0.013134554
FB,-0.000152167,7061.969697,466090,264.95,-0.013134554,265.9689,266.84056,267.34897,-0.018033687,-0.016183672,-0.00692346,0.034244772
FB,0.000300792,11174.47222,804562,265.88,0.034244772,263.92925,263.066,265.54244,0.022294611,0.021771951,0.000584295,-0.00871576
FB,-0.000140913,15298.69697,1009714,281.1,-0.00871576,280.6705,274.75864,267.24191,-0.000170128,0.021338947,0.019266944,0.004803178
FB,1.73E-05,7816.590909,515895,276.9,0.004803178,278.69285,279.85364,274.08518,-0.001627598,-0.008351294,0.013627844,0.01742546
FB,0.000235969,13680.65152,902923,280.05,0.01742546,278.6665,278.2623,278.63995,0.014926265,0.00895946,0.00179705,-0.023211581
FB,-0.000444522,12076.01515,797017,283.91,-0.023211581,283.82855,282.3759,279.373835,-0.027693127,-0.020082167,-0.000837015,0.019178871
FB,0.000274841,13394.87879,884062,277.91,0.019178871,278.1128,276.659,279.215925,0.016384359,0.021872341,0.004605737,0.014282547
FB,-0.00015838,12870.95714,900967,270.61,0.014282547,276.195,280.1708,280.02437,-0.020839443,-0.035459798,-0.013371693,0.00983935
FB,-0.000451088,14366.24359,1120567,279.49,0.00983935,276.81785,272.63824,276.43293,0.015152202,0.032627705,0.001824602,-0.00434372
FB,-5.58E-06,30391.80597,2036251,264.75,-0.00434372,271.5825,277.3263,275.776235,-0.039640993,-0.053494818,-0.010467925,-0.011760702
FB,-6.30E-05,15163.01282,1182715,264.44,-0.011760702,261.47545,262.40538,272.733505,-0.006958397,-0.008827868,-0.022979153,0.007637939
