Symbol,Five_Minute_Change,Average_Volume,Total_Volume,Days_Open,Days_Change,20MA_Open,50MA_Open,200MA_Open,20MA_Change,50MA_Change,200MA_Change
AAPL,8.30E-05,75261.98718,5870435,129.24,0.003868771,129.01435,129.82238,131.446975,0.001950558,-0.007283644,-0.01292312
AAPL,-2.22E-05,63505.46835,5016932,130.18,-0.002381318,130.3106,129.55234,129.626665,-0.00544737,-0.00078146,-0.002266548
AAPL,-0.000189613,59855.01266,4728546,128.01,-0.014170768,127.76495,128.52888,129.12453,-0.007239075,-0.011492048,-0.005391617
AAPL,0.000230571,87403.21795,6817451,123.76,0.016968326,123.2137,124.82176,127.40369,0.020097603,-0.005907143,-0.016767764
AAPL,3.91E-05,62462.24359,4872055,124.75,0.004328657,125.94335,125.9777,125.02179,-0.010142258,-0.010316112,-0.005882495
AAPL,-0.000389973,89057.94937,7035578,124.68,-0.027831248,124.56495,124.69926,124.589115,-0.022451741,-0.020760829,-0.005525964
AAPL,-7.63E-05,90819.98734,7174779,122.56,-0.008159269,122.02185,121.37824,123.2374,0.012107668,0.018676824,-0.003867819
AAPL,0.000361294,86196.21795,6723305,123.74,0.032729918,123.5014,123.0825,122.626065,0.031842554,0.029737778,0.014337042
AAPL,-0.000337471,13081.08974,1020325,128.39,-0.02492406,25.62055,86.85838,114.916695,3.907818138,0.450204344,0.009060172
AAPL,-0.000136904,24904.01282,1942513,121.805,-0.013833586,6.138,73.6072,97.97895,18.55922124,0.635494897,0.01176222
AAPL,-1.96E-05,26361.20513,2056174,120.96,0.003637566,114.046,117.8773,98.475525,0.061650562,0.019063043,0.096071333
AAPL,-0.000499207,30752,2398656,120.88,-0.038550629,121.044,120.1515,107.919625,-0.032926043,-0.022390066,0.097779018
AAPL,0.000137492,26661.62821,2079607,118.99,0.016261871,117.1595,117.4935,118.46375,0.037308114,0.032825646,0.009922023
AAPL,-0.000183739,22164.71795,1728848,121.54,-0.012917558,121.5155,121.3611,119.64715,-0.00926425,-0.00946267,0.002211921
